Brand,Item Name,Item Code,Package Size,MCC,Category
LAXMI,PUNJABI CHOLEY,LFGPC1,12X284 GM,20723246291271,FROZEN GRAVY & CURRIES
LAXMI,SARSON KA SAAG,LFGSS1,12X284 GM,20723246291349,FROZEN GRAVY & CURRIES
LAXMI,PANEER MAKHANI,LFGPM1,12X284 GM,20723246291257,FROZEN GRAVY & CURRIES
LAXMI,PALAK PANEER,LFGPP1,12X284 GM,20723246291196,FROZEN GRAVY & CURRIES
LAXMI,SHAHI MALAI PANEER,LFGMP1,12X284 GM,20723246291172,FROZEN GRAVY & CURRIES
LAXMI,SHAHI PANEER,LFGSP1,12X284 GM,20723246291356,FROZEN GRAVY & CURRIES
LAXMI,PANEER TIKKA MASALA,LFGTM1,12X284 GM,20723246291264,FROZEN GRAVY & CURRIES
LAXMI,PANEER BUTTER MASALA,LFGPBM,12X284 GM,20723246291202,FROZEN GRAVY & CURRIES
LAXMI,SHAHI MALAI KOFTA,LFGMK1,12X284 GM,20723246291165,FROZEN GRAVY & CURRIES
LAXMI,SHAHI METHI MALAI MATAR,LFGMM1,12X284 GM,20723246291189,FROZEN GRAVY & CURRIES
LAXMI,AMRITSARI CHOLEY,LFGAC1,12X284 GM,20723246291134,FROZEN GRAVY & CURRIES
LAXMI,RAJMA MASALA,LFGRM1,12X284 GM,20723246291332,FROZEN GRAVY & CURRIES
LAXMI,DAL MAKHANI,LFGDM1,12X284 GM,20723246291127,FROZEN GRAVY & CURRIES
LAXMI,PAV BHAJI,LFGPB1,12X284 GM,20723246291219,FROZEN GRAVY & CURRIES
LAXMI,FRESH PANEER,LDPF2,24X12 OZ,30723246293791,FRESH PANEER
LAXMI,FRESH PANEER,LDPF,4X5 LB,10723246293780,FRESH PANEER
LAXMI,GRASS FED BUTTER GHEE,LOGH8,12X8 OZ,20723246102201,GHEE
LAXMI,GRASS FED BUTTER GHEE,LOGH6,12X14 OZ,20723246286192,GHEE
LAXMI,GRASS FED BUTTER GHEE,LOGH4,12X28 OZ,20723246286185,GHEE
LAXMI,GRASS FED BUTTER GHEE,LOGH2,6X56 OZ,10723246286171,GHEE
LAXMI,GRASS FED BUTTER GHEE,LOGH0,20 LB,N/A,GHEE
LAXMI,JAGGERY BALLS,LMG10,12X2 LB,20723246285638,JAGGERY RANGE
LAXMI,JAGGERY CUBES,LMG7,20X2 LB,20723246285652,JAGGERY RANGE
LAXMI,JAGGERY POWDER,LMG12,10X2 LB,10723246285822,JAGGERY RANGE
LAXMI,DESI JAGGERY,LMGN1,6X4.4 LB,10723246265466,JAGGERY RANGE
LAXMI,DESI JAGGERY,LMGN,4X11 LB,10723246265473,JAGGERY RANGE
